id;username;nama;password;role;saldo
1;admin;Ulala;19s22m21g19k19k19w21g20q21k;admin;500000
2;tsuyoku;Larissa;20m19k20q23c19k;user;0
3;bobomen;Ken;20y20a21k19w20a19o20a22e22i;user;0
4;jesenganteng123;Jesen;20m19k20q23c19k;user;0
5;raymond;Raymond;22a19k23c21g21o21k19w20i19k21k22i20a21k20i123;admin;100000
6;hobitidur;Juan;19w19k20m21c19k20m;user;1500000
7;kantong;Doraemon;19k20u19k20q19o;user;0
8;shuriken;Ninja Hatori;22e20m22m22a20q20y20a21k;user;0
9;inisiapa;Hantu;20i19k20y22i19k22m;user;0
10;kurama;Naruto;20y22m22a19k21g19k;user;0
